System time: 0 | Packet number: 2 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 5 | Pitch: 245 | Height: 0
Packet number: 3 | Type: 10 | Motor1: 40 | Motor2: 40 | Motor3: 40 | Motor4: 40
Packet number: 534 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 536 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 538 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 540 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 542 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 544 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 546 | Type: 10 | Motor1: 202 | Motor2: 149 | Motor3: 60 | Motor4: 149
Packet number: 548 | Type: 10 | Motor1: 202 | Motor2: 149 | Motor3: 60 | Motor4: 149
Packet number: 550 | Type: 10 | Motor1: 202 | Motor2: 149 | Motor3: 60 | Motor4: 149
Packet number: 552 | Type: 10 | Motor1: 202 | Motor2: 149 | Motor3: 60 | Motor4: 149
Packet number: 554 | Type: 10 | Motor1: 204 | Motor2: 149 | Motor3: 53 | Motor4: 149
Packet number: 556 | Type: 10 | Motor1: 204 | Motor2: 149 | Motor3: 53 | Motor4: 149
Packet number: 558 | Type: 10 | Motor1: 206 | Motor2: 149 | Motor3: 44 | Motor4: 149
System time: 0 | Packet number: 560 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 561 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 563 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 565 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 567 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 569 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 571 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 573 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 575 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 577 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 579 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 581 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 583 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 585 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 587 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 589 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 591 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 593 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 595 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 597 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 599 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 601 | Type: 10 | Motor1: 210 | Motor2: 149 | Motor3: 17 | Motor4: 149
Packet number: 603 | Type: 10 | Motor1: 208 | Motor2: 149 | Motor3: 33 | Motor4: 149
Packet number: 605 | Type: 10 | Motor1: 206 | Motor2: 149 | Motor3: 44 | Motor4: 149
Packet number: 607 | Type: 10 | Motor1: 206 | Motor2: 149 | Motor3: 44 | Motor4: 149
Packet number: 609 | Type: 10 | Motor1: 204 | Motor2: 149 | Motor3: 53 | Motor4: 149
Packet number: 611 | Type: 10 | Motor1: 204 | Motor2: 149 | Motor3: 53 | Motor4: 149
Packet number: 613 | Type: 10 | Motor1: 202 | Motor2: 149 | Motor3: 60 | Motor4: 149
Packet number: 615 | Type: 10 | Motor1: 200 | Motor2: 149 | Motor3: 67 | Motor4: 149
Packet number: 617 | Type: 10 | Motor1: 196 | Motor2: 149 | Motor3: 79 | Motor4: 149
Packet number: 619 | Type: 10 | Motor1: 191 | Motor2: 149 | Motor3: 89 | Motor4: 149
Packet number: 621 | Type: 10 | Motor1: 191 | Motor2: 149 | Motor3: 89 | Motor4: 149
Packet number: 623 | Type: 10 | Motor1: 189 | Motor2: 149 | Motor3: 93 | Motor4: 149
Packet number: 625 | Type: 10 | Motor1: 189 | Motor2: 149 | Motor3: 93 | Motor4: 149
Packet number: 627 | Type: 10 | Motor1: 187 | Motor2: 149 | Motor3: 98 | Motor4: 149
Packet number: 629 | Type: 10 | Motor1: 185 | Motor2: 149 | Motor3: 102 | Motor4: 149
Packet number: 631 | Type: 10 | Motor1: 185 | Motor2: 149 | Motor3: 102 | Motor4: 149
Packet number: 633 | Type: 10 | Motor1: 185 | Motor2: 149 | Motor3: 102 | Motor4: 149
Packet number: 635 | Type: 10 | Motor1: 182 | Motor2: 149 | Motor3: 106 | Motor4: 149
Packet number: 637 | Type: 10 | Motor1: 180 | Motor2: 149 | Motor3: 110 | Motor4: 149
Packet number: 639 | Type: 10 | Motor1: 180 | Motor2: 149 | Motor3: 110 | Motor4: 149
Packet number: 65409 | Type: 10 | Motor1: 175 | Motor2: 149 | Motor3: 117 | Motor4: 149
Packet number: 65411 | Type: 10 | Motor1: 173 | Motor2: 149 | Motor3: 121 | Motor4: 149
Packet number: 65413 | Type: 10 | Motor1: 170 | Motor2: 149 | Motor3: 124 | Motor4: 149
Packet number: 65415 | Type: 10 | Motor1: 168 | Motor2: 149 | Motor3: 128 | Motor4: 149
Packet number: 65417 | Type: 10 | Motor1: 165 | Motor2: 149 | Motor3: 131 | Motor4: 149
Packet number: 65419 | Type: 10 | Motor1: 163 | Motor2: 149 | Motor3: 134 | Motor4: 149
Packet number: 65421 | Type: 10 | Motor1: 160 | Motor2: 149 | Motor3: 137 | Motor4: 149
Packet number: 65423 | Type: 10 | Motor1: 160 | Motor2: 149 | Motor3: 137 | Motor4: 149
Packet number: 65425 | Type: 10 | Motor1: 157 | Motor2: 149 | Motor3: 140 | Motor4: 149
Packet number: 65427 | Type: 10 | Motor1: 157 | Motor2: 149 | Motor3: 140 | Motor4: 149
Packet number: 65429 | Type: 10 | Motor1: 155 | Motor2: 149 | Motor3: 143 | Motor4: 149
Packet number: 65431 | Type: 10 | Motor1: 155 | Motor2: 149 | Motor3: 143 | Motor4: 149
Packet number: 65433 | Type: 10 | Motor1: 152 | Motor2: 149 | Motor3: 146 | Motor4: 149
Packet number: 65435 | Type: 10 | Motor1: 149 | Motor2: 149 | Motor3: 149 | Motor4: 149
Packet number: 65437 | Type: 10 | Motor1: 146 | Motor2: 149 | Motor3: 152 | Motor4: 149
Packet number: 65439 | Type: 10 | Motor1: 140 | Motor2: 149 | Motor3: 157 | Motor4: 149
Packet number: 65441 | Type: 10 | Motor1: 137 | Motor2: 149 | Motor3: 160 | Motor4: 149
System time: 0 | Packet number: 65443 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 65444 | Type: 10 | Motor1: 134 | Motor2: 149 | Motor3: 163 | Motor4: 149
Packet number: 65446 | Type: 10 | Motor1: 134 | Motor2: 149 | Motor3: 163 | Motor4: 149
Packet number: 65448 | Type: 10 | Motor1: 134 | Motor2: 149 | Motor3: 163 | Motor4: 149
Packet number: 65450 | Type: 10 | Motor1: 134 | Motor2: 149 | Motor3: 163 | Motor4: 149
Packet number: 65452 | Type: 10 | Motor1: 128 | Motor2: 149 | Motor3: 168 | Motor4: 149
Packet number: 65454 | Type: 10 | Motor1: 121 | Motor2: 149 | Motor3: 173 | Motor4: 149
Packet number: 65456 | Type: 10 | Motor1: 106 | Motor2: 149 | Motor3: 182 | Motor4: 149
Packet number: 65458 | Type: 10 | Motor1: 106 | Motor2: 149 | Motor3: 182 | Motor4: 149
Packet number: 65460 | Type: 10 | Motor1: 102 | Motor2: 149 | Motor3: 185 | Motor4: 149
Packet number: 65462 | Type: 10 | Motor1: 102 | Motor2: 149 | Motor3: 185 | Motor4: 149
Packet number: 65464 | Type: 10 | Motor1: 98 | Motor2: 149 | Motor3: 187 | Motor4: 149
Packet number: 65466 | Type: 10 | Motor1: 93 | Motor2: 149 | Motor3: 189 | Motor4: 149
Packet number: 65468 | Type: 10 | Motor1: 79 | Motor2: 149 | Motor3: 196 | Motor4: 149
Packet number: 65470 | Type: 10 | Motor1: 73 | Motor2: 149 | Motor3: 198 | Motor4: 149
Packet number: 65472 | Type: 10 | Motor1: 73 | Motor2: 149 | Motor3: 198 | Motor4: 149
Packet number: 65474 | Type: 10 | Motor1: 67 | Motor2: 149 | Motor3: 200 | Motor4: 149
Packet number: 65476 | Type: 10 | Motor1: 67 | Motor2: 149 | Motor3: 200 | Motor4: 149
Packet number: 65478 | Type: 10 | Motor1: 60 | Motor2: 149 | Motor3: 202 | Motor4: 149
Packet number: 65480 | Type: 10 | Motor1: 53 | Motor2: 149 | Motor3: 204 | Motor4: 149
Packet number: 65482 | Type: 10 | Motor1: 53 | Motor2: 149 | Motor3: 204 | Motor4: 149
Packet number: 65484 | Type: 10 | Motor1: 53 | Motor2: 149 | Motor3: 204 | Motor4: 149
Packet number: 65486 | Type: 10 | Motor1: 44 | Motor2: 149 | Motor3: 206 | Motor4: 149
Packet number: 65488 | Type: 10 | Motor1: 44 | Motor2: 149 | Motor3: 206 | Motor4: 149
Packet number: 65490 | Type: 10 | Motor1: 33 | Motor2: 149 | Motor3: 208 | Motor4: 149
Packet number: 65492 | Type: 10 | Motor1: 33 | Motor2: 149 | Motor3: 208 | Motor4: 149
Packet number: 65494 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65496 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65498 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65500 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65502 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65504 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65506 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65508 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65510 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65512 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65514 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65516 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65518 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65520 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65522 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65524 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65526 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65528 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65530 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65532 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65534 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 768 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 770 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 772 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 774 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 776 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
System time: 0 | Packet number: 778 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 779 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 781 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 783 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 785 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 787 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 789 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 791 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 793 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 795 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 797 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 799 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 801 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 803 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 805 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 807 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 809 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 811 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 813 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 815 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 817 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 819 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 821 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 823 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 825 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 827 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 829 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 831 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 833 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 835 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 837 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 839 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 841 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 843 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 845 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 847 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 849 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 851 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 853 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 857 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 859 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 861 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 863 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
System time: 0 | Packet number: 865 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 866 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 868 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 870 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 872 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 874 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 876 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 878 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 880 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 882 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 884 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 886 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 888 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 890 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 892 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 894 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65408 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65410 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65412 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65414 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65416 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65418 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65420 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65422 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65424 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65426 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65428 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65430 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65432 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65434 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65436 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65438 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65440 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65442 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65444 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65446 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65448 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65450 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65452 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65454 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65456 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65458 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
System time: 0 | Packet number: 65460 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 65461 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65463 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65465 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65467 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65469 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65471 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65473 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65475 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65477 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65479 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65481 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65483 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65485 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65487 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65489 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65491 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65493 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65495 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65497 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65499 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65501 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65503 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65505 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65507 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65509 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65511 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65513 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65515 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65517 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65519 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65521 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65523 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65525 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65527 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65529 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65531 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 65533 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1025 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1027 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1029 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1031 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1033 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1035 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1037 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1039 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1041 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
System time: 0 | Packet number: 1043 | Type: 2 | Mode: 2 | Battery: 2 | Roll: 7 | Pitch: 245 | Height: 0
Packet number: 1044 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1046 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1048 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1050 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1052 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1054 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1056 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1058 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1060 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1062 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1064 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
Packet number: 1066 | Type: 10 | Motor1: 17 | Motor2: 149 | Motor3: 210 | Motor4: 149
